gid,year,mean,rank,District,Zone,Region,Country
32,1987,,7,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1988,,8,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1989,,9,WEREDA 14, Unknown, Addis Ababa, Ethiopia
32,1990,,10,WEREDA 14, Unknown, Addis Ababa, Ethiopia
33,1981,,1,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1982,,2,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1983,,3,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1984,,4,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1985,,5,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1986,,6,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1987,,7,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1988,,8,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1989,,9,WEREDA 18, Unknown, Addis Ababa, Ethiopia
33,1990,,10,WEREDA 18, Unknown, Addis Ababa, Ethiopia
34,1981,,1,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1982,,2,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1983,,3,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1984,,4,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1985,,5,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1986,,6,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1987,,7,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1988,,8,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1989,,9,WEREDA 22, Unknown, Addis Ababa, Ethiopia
34,1990,,10,WEREDA 22, Unknown, Addis Ababa, Ethiopia
35,1981,,1,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1982,,2,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1983,,3,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1984,,4,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1985,,5,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1986,,6,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
35,1987,,7,WEREDA 05, Zone 1, Addis Ababa, Ethiopia
