gid,District,Zone,Region,Country
377,Begi, West Wellega, Oromia, Ethiopia
378,Boji, West Wellega, Oromia, Ethiopia
379,Dale Sadi, West Wellega, Oromia, Ethiopia
380,Ganji, West Wellega, Oromia, Ethiopia
381,Gawo Dale, West Wellega, Oromia, Ethiopia
382,Gidami, West Wellega, Oromia, Ethiopia
383,Gimbi, West Wellega, Oromia, Ethiopia
384,Haru, West Wellega, Oromia, Ethiopia
385,Hawa Welele, West Wellega, Oromia, Ethiopia
386,Jarso, West Wellega, Oromia, Ethiopia
387,JimmaHoro, West Wellega, Oromia, Ethiopia
388,Lalo Asabi, West Wellega, Oromia, Ethiopia
389,LaloKillie, West Wellega, Oromia, Ethiopia
390,Mana Sibu, West Wellega, Oromia, Ethiopia
391,Nejo, West Wellega, Oromia, Ethiopia
392,Nole Kaba, West Wellega, Oromia, Ethiopia
393,Sayo, West Wellega, Oromia, Ethiopia
394,Yobdo, West Wellega, Oromia, Ethiopia
395,Aware, Dege Habur, Somali, Ethiopia
396,Degehabur, Dege Habur, Somali, Ethiopia
397,Degehamedo, Dege Habur, Somali, Ethiopia
398,Misrak Gashamo, Dege Habur, Somali, Ethiopia
399,Babile, Jijiga, Somali, Ethiopia
400,Gursum, Jijiga, Somali, Ethiopia
401,Hareshen, Jijiga, Somali, Ethiopia
402,Jijiga, Jijiga, Somali, Ethiopia
403,Kebribeyah, Jijiga, Somali, Ethiopia
404,Teferi  Ber, Jijiga, Somali, Ethiopia
405,Dolo Odo, Liben, Somali, Ethiopia
406,Filtu, Liben, Somali, Ethiopia
407,Moyale, Liben, Somali, Ethiopia
408,Afdem, Shinile, Somali, Ethiopia
409,Ayisha, Shinile, Somali, Ethiopia
410,Dembel, Shinile, Somali, Ethiopia
411,Erer, Shinile, Somali, Ethiopia
412,Miesso, Shinile, Somali, Ethiopia
413,Shinile, Shinile, Somali, Ethiopia
414,Adadle, Unknown, Somali, Ethiopia
415,Afder, Unknown, Somali, Ethiopia
416,Ferfer, Unknown, Somali, Ethiopia
417,Fik, Unknown, Somali, Ethiopia
418,Gerbo, Unknown, Somali, Ethiopia
419,Gode, Unknown, Somali, Ethiopia
420,Goro Baqaqsa, Unknown, Somali, Ethiopia
421,Gudis, Unknown, Somali, Ethiopia
422,Guradamole, Unknown, Somali, Ethiopia
423,Hamero, Unknown, Somali, Ethiopia
424,Kebridehar, Unknown, Somali, Ethiopia
425,Kelafo, Unknown, Somali, Ethiopia
426,Lagahida, Unknown, Somali, Ethiopia
427,Meyumuluka, Unknown, Somali, Ethiopia
428,Mustahil, Unknown, Somali, Ethiopia
429,Segeg, Unknown, Somali, Ethiopia
430,Selahad, Unknown, Somali, Ethiopia
431,Shekosh, Unknown, Somali, Ethiopia
432,Shilabo, Unknown, Somali, Ethiopia
433,West Imi, Unknown, Somali, Ethiopia
434,Boh, Welwel & Warder, Somali, Ethiopia
435,Danot, Welwel & Warder, Somali, Ethiopia
436,Geladin, Welwel & Warder, Somali, Ethiopia
437,Warder, Welwel & Warder, Somali, Ethiopia
438,Amaro, Amaro Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
439,Basketo, Basketo Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
440,Bench, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
441,Bero, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
442,Maji, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
443,Meanit Goldiiya, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
444,Menit Shasha, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
445,Sheka, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
446,Shewa Bench, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
447,Surma, Benchi Maji," Southern Nations, Nationalities and Peoples", Ethiopia
448,Burji, Burji Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
449,Gena Bosa, Dawuro," Southern Nations, Nationalities and Peoples", Ethiopia
450,Isara, Dawuro," Southern Nations, Nationalities and Peoples", Ethiopia
451,Loma Bosa, Dawuro," Southern Nations, Nationalities and Peoples", Ethiopia
452,Mareka Gena, Dawuro," Southern Nations, Nationalities and Peoples", Ethiopia
453,Tocha, Dawuro," Southern Nations, Nationalities and Peoples", Ethiopia
454,Dirashe, Derashe Special Woreda," Southern Nations, Nationalities and Peoples", Ethiopia
455,Arba Minch Zuria, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
456,Bonke, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
457,Boreda, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
458,Chencha, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
459,Daramalo, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
460,Dita, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
461,Gofa Zuria, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
462,Kemba, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
463,Kucha, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
464,Melekoza, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
465,MirabAbaya, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
466,Ubadebretsehay, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
467,Zala, Gamo Gofa," Southern Nations, Nationalities and Peoples", Ethiopia
468,Bule, Gedeo," Southern Nations, Nationalities and Peoples", Ethiopia
469,Kochere, Gedeo," Southern Nations, Nationalities and Peoples", Ethiopia
470,Wenago, Gedeo," Southern Nations, Nationalities and Peoples", Ethiopia
471,Yirgachefe, Gedeo," Southern Nations, Nationalities and Peoples", Ethiopia
472,Akililna Mohr, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
473,Alicho Woriro, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
474,Cheha, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
475,Dalocha, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
476,Endagagn, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
477,Enemorina Eaner, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
478,Ezha, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
479,Goro, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
480,Gumer, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
481,Kokir Gedbano Gutazer, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
482,Lanfero, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
483,Meskanena Mareko, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
484,Selti, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
485,Sodo, Guraghe," Southern Nations, Nationalities and Peoples", Ethiopia
