gid,time,mean,a,order
59,2008,0.8408344926475411,Abala,4
59,1990,0.8813953574380166,Abala,5
59,1983,1.0705904903805308,Abala,6
59,1993,1.133299682939655,Abala,7
59,1987,1.2642886115652172,Abala,8
59,2012,1.3595261416721314,Abala,9
59,2002,1.3970943881803282,Abala,10
60,1984,0.5961847127565217,Afdera,1
60,1991,0.6438804524710745,Afdera,2
60,2004,0.7772590622950822,Afdera,3
60,2012,0.8450533609754097,Afdera,4
60,1983,0.8578075383008849,Afdera,5
60,1987,0.9431822193304348,Afdera,6
60,1990,1.078095675702479,Afdera,7
60,1985,1.2038021857394956,Afdera,8
60,2008,1.2442530544180332,Afdera,9
60,2019,1.3097751355983605,Afdera,10
61,1991,0.5907488846576859,Berahle,1
61,2004,0.6377473205737705,Berahle,2
61,1984,0.7276961841999999,Berahle,3
61,1983,0.8356053836005314,Berahle,4
61,1987,0.872612302951913,Berahle,5
61,2012,0.9384478887745079,Berahle,6
61,2019,0.9877670002235248,Berahle,7
61,2008,1.0011908427764753,Berahle,8
61,1989,1.1127365886440679,Berahle,9
61,1990,1.1507585953305783,Berahle,10
62,1983,0.5492316858407079,Dallol,1
62,2004,0.6194754384426231,Dallol,2
62,1984,0.8043139447110434,Dallol,3
62,1989,0.8468849966949151,Dallol,4
62,1991,0.8605774696694213,Dallol,5
62,1993,0.9629472893103448,Dallol,6
62,1985,0.9808980472268908,Dallol,7
62,2009,0.9823987776229508,Dallol,8
62,2019,1.0363072552459018,Dallol,9
62,1990,1.0749972683471074,Dallol,10
63,1991,0.5928678793388431,Erebti,1
63,1983,0.7459378819469028,Erebti,2
63,1984,0.7986697510434784,Erebti,3
63,2004,0.8255181830327868,Erebti,4
63,2012,0.9781251834754098,Erebti,5
63,1990,0.9804393,Erebti,6
63,2008,1.1873906956557374,Erebti,7
63,1987,1.2648750682608698,Erebti,8
63,1993,1.3250263672413791,Erebti,9
63,2019,1.3430763477049177,Erebti,10
64,1984,0.7065523886695654,Koneba,1
64,1991,0.7808011483471075,Koneba,2
64,2004,0.8028200646721311,Koneba,3
64,1983,0.9112530610619471,Koneba,4
64,2019,0.9604074916393442,Koneba,5
64,1990,0.9975129559504132,Koneba,6
64,1993,1.0139550985344827,Koneba,7
64,2012,1.02439395147541,Koneba,8
64,1989,1.0295413069491524,Koneba,9
64,2009,1.042688640737705,Koneba,10
65,1984,0.42970211504347816,Megale,1
65,1991,0.7034183972727275,Megale,2
65,2004,0.8772171121311476,Megale,3
65,1990,0.9496332661983472,Megale,4
65,1983,1.149899777964602,Megale,5
65,1993,1.176795146293103,Megale,6
65,1987,1.1779531079999999,Megale,7
65,2008,1.1779701677868852,Megale,8
65,2012,1.2907330008196718,Megale,9
65,2009,1.3331455653524589,Megale,10
