year,District,value
1994,Chadiza,262.30273
1995,Chadiza,252.857018
1996,Chadiza,268.04968
1997,Chadiza,269.46246
1998,Chadiza,267.22392
1999,Chadiza,275
2000,Chadiza,275
2001,Chadiza,274.56953
2002,Chadiza,275
2003,Chadiza,242.93663
2004,Chadiza,201.388215
2005,Chadiza,267.00444
2006,Chadiza,265.76601
2007,Chadiza,248.002739
2008,Chadiza,275
2009,Chadiza,275
2010,Chadiza,264.38044
2011,Chadiza,269.76343
2012,Chadiza,258.99418
2013,Chadiza,261.16211
2014,Chadiza,254.63834
2015,Chadiza,274.87846
2016,Chadiza,260.08453
2017,Chadiza,275
2018,Chadiza,248.696542
2019,Chadiza,227.363613
1981,Chasefu,271.04944
1982,Chasefu,259.28114
1983,Chasefu,275
1984,Chasefu,275
1985,Chasefu,275
1986,Chasefu,275
1987,Chasefu,275
1988,Chasefu,268.98789
1989,Chasefu,258.640309
1990,Chasefu,267.29226
1991,Chasefu,275
1992,Chasefu,275
1993,Chasefu,269.77585
1994,Chasefu,275
1995,Chasefu,275
1996,Chasefu,261.66552
1997,Chasefu,275
1998,Chasefu,266.34749
1999,Chasefu,273.33231
2000,Chasefu,275
2001,Chasefu,264.50761
2002,Chasefu,275
2003,Chasefu,267.21744
2004,Chasefu,254.60745
2005,Chasefu,275
2006,Chasefu,270.0842
2007,Chasefu,265.7003
2008,Chasefu,275
2009,Chasefu,275
2010,Chasefu,275
2011,Chasefu,275
2012,Chasefu,275
2013,Chasefu,275
2014,Chasefu,261.37831
2015,Chasefu,275
2016,Chasefu,270.41039
2017,Chasefu,275
2018,Chasefu,275
2019,Chasefu,275
1981,Chipangali,267.74885
1982,Chipangali,254.715414
1983,Chipangali,272.23324
1984,Chipangali,275
1985,Chipangali,273.73454
1986,Chipangali,274.46645
1987,Chipangali,265.56891
1988,Chipangali,275
1989,Chipangali,254.158973
1990,Chipangali,270.4146
1991,Chipangali,258.777505
1992,Chipangali,275
1993,Chipangali,233.118724
1994,Chipangali,274.75512
1995,Chipangali,258.293309
1996,Chipangali,264.71288
1997,Chipangali,275
1998,Chipangali,275
1999,Chipangali,273.84325
2000,Chipangali,275
2001,Chipangali,275
2002,Chipangali,275
2003,Chipangali,257.076977
2004,Chipangali,234.613625
2005,Chipangali,261.51961
2006,Chipangali,272.28057
2007,Chipangali,255.192548
2008,Chipangali,275
2009,Chipangali,275
2010,Chipangali,275
2011,Chipangali,275
2012,Chipangali,268.19653
2013,Chipangali,261.27923
2014,Chipangali,264.93781
2015,Chipangali,275
2016,Chipangali,259.76213
2017,Chipangali,275
2018,Chipangali,273.93719
2019,Chipangali,260.08339
1981,Chipata,261.5689
1982,Chipata,255.4061
1983,Chipata,267.66092
1984,Chipata,272.28409
1985,Chipata,271.84113
1986,Chipata,271.31941
1987,Chipata,269.90313
1988,Chipata,275
1989,Chipata,253.640237
1990,Chipata,275
1991,Chipata,255.628931
1992,Chipata,275
1993,Chipata,233.915645
1994,Chipata,266.73519
1995,Chipata,254.648303
1996,Chipata,267.0608
1997,Chipata,273.91794
1998,Chipata,275
1999,Chipata,272.91858
2000,Chipata,275
2001,Chipata,274.20367
2002,Chipata,275
2003,Chipata,259.204512
2004,Chipata,225.12043
2005,Chipata,260.04085
2006,Chipata,271.01613
2007,Chipata,250.259783
2008,Chipata,275
2009,Chipata,275
2010,Chipata,273.54763
2011,Chipata,269.71112
2012,Chipata,262.10973
2013,Chipata,263.32923
2014,Chipata,261.89409
2015,Chipata,275
2016,Chipata,259.087958
2017,Chipata,275
2018,Chipata,259.776658
2019,Chipata,254.50977
1981,Kasenengwa,249.18843
1982,Kasenengwa,248.307261
1983,Kasenengwa,264.24751
1984,Kasenengwa,271.82155
1985,Kasenengwa,267.8142
1986,Kasenengwa,267.5308
1987,Kasenengwa,271.12926
1988,Kasenengwa,275
1989,Kasenengwa,255.226864
1990,Kasenengwa,275
1991,Kasenengwa,254.598134
1992,Kasenengwa,275
1993,Kasenengwa,225.701099
1994,Kasenengwa,267.74038
1995,Kasenengwa,255.391763
1996,Kasenengwa,270.25202
1997,Kasenengwa,272.14178
1998,Kasenengwa,275
1999,Kasenengwa,272.36436
2000,Kasenengwa,275
2001,Kasenengwa,271.12217
2002,Kasenengwa,275
2003,Kasenengwa,256.759297
2004,Kasenengwa,224.767087
2005,Kasenengwa,269.98936
2006,Kasenengwa,269.46412
2007,Kasenengwa,254.375055
2008,Kasenengwa,275
2009,Kasenengwa,275
2010,Kasenengwa,271.42099
2011,Kasenengwa,270.92139
2012,Kasenengwa,257.37403
2013,Kasenengwa,261.7761
2014,Kasenengwa,262.26093
2015,Kasenengwa,275
2016,Kasenengwa,260.08706
2017,Kasenengwa,275
2018,Kasenengwa,258.395725
2019,Kasenengwa,259.70063
1981,Katete,236.455607
1982,Katete,249.458153
1983,Katete,266.71282
1984,Katete,271.24279
1985,Katete,260.87771
1986,Katete,254.66811
1987,Katete,265.82947
1988,Katete,275
1989,Katete,252.719137
1990,Katete,275
1991,Katete,257.018212
1992,Katete,255.3765
1993,Katete,220.686747
