gid,year,mean,rank,district,Zone,Kwilu,Country
86,1983,4.003479409,3,Guangua, Awi,Amhara, Ethiopia
86,1986,4.021002169,2,Guangua, Awi,Amhara, Ethiopia
86,1984,4.049314708,1,Guangua, Awi,Amhara, Ethiopia
88,2015,2.321736438,10,Awabel, East Gojam,Amhara, Ethiopia
88,1986,2.805106416,9,Awabel, East Gojam,Amhara, Ethiopia
88,1995,2.807509212,8,Awabel, East Gojam,Amhara, Ethiopia
88,2002,2.828025894,7,Awabel, East Gojam,Amhara, Ethiopia
88,1982,2.8343472,6,Awabel, East Gojam,Amhara, Ethiopia
88,1991,2.850986224,5,Awabel, East Gojam,Amhara, Ethiopia
88,1992,2.91562483,4,Awabel, East Gojam,Amhara, Ethiopia
88,2003,2.94917788,3,Awabel, East Gojam,Amhara, Ethiopia
88,2016,2.960285739,2,Awabel, East Gojam,Amhara, Ethiopia
88,2018,2.983796708,1,Awabel, East Gojam,Amhara, Ethiopia
89,2015,2.300743594,10,Baso Liben, East Gojam,Amhara, Ethiopia
89,1986,2.68937687,9,Baso Liben, East Gojam,Amhara, Ethiopia
89,1982,2.741681958,8,Baso Liben, East Gojam,Amhara, Ethiopia
89,2016,2.809038673,7,Baso Liben, East Gojam,Amhara, Ethiopia
89,2002,2.832582234,6,Baso Liben, East Gojam,Amhara, Ethiopia
89,2018,2.90042678,5,Baso Liben, East Gojam,Amhara, Ethiopia
89,1995,2.930594095,4,Baso Liben, East Gojam,Amhara, Ethiopia
89,1984,2.932958146,3,Baso Liben, East Gojam,Amhara, Ethiopia
89,1991,2.994322262,2,Baso Liben, East Gojam,Amhara, Ethiopia
89,1981,3.009208683,1,Baso Liben, East Gojam,Amhara, Ethiopia
90,2015,3.031028496,10,Bibugn, East Gojam,Amhara, Ethiopia
90,2002,3.179013493,9,Bibugn, East Gojam,Amhara, Ethiopia
90,2009,3.18334593,8,Bibugn, East Gojam,Amhara, Ethiopia
90,1995,3.22979052,7,Bibugn, East Gojam,Amhara, Ethiopia
90,2003,3.242134688,6,Bibugn, East Gojam,Amhara, Ethiopia
90,1990,3.290223068,5,Bibugn, East Gojam,Amhara, Ethiopia
90,2004,3.303265904,4,Bibugn, East Gojam,Amhara, Ethiopia
90,2005,3.314552392,3,Bibugn, East Gojam,Amhara, Ethiopia
90,1994,3.326729274,2,Bibugn, East Gojam,Amhara, Ethiopia
90,1986,3.39506613,1,Bibugn, East Gojam,Amhara, Ethiopia
91,2015,2.6084441,10,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1992,2.979959911,9,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1995,3.057566741,8,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1991,3.069798855,7,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,2003,3.132327781,6,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,2002,3.137207172,5,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1984,3.139035341,4,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1987,3.171516548,3,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1982,3.185989776,2,Debay Telatgen, East Gojam,Amhara, Ethiopia
91,1986,3.196992523,1,Debay Telatgen, East Gojam,Amhara, Ethiopia
92,2015,2.720409787,10,Debre Marqos, East Gojam,Amhara, Ethiopia
92,1995,2.982695479,9,Debre Marqos, East Gojam,Amhara, Ethiopia
92,1986,3.059260051,8,Debre Marqos, East Gojam,Amhara, Ethiopia
92,2016,3.104021507,7,Debre Marqos, East Gojam,Amhara, Ethiopia
92,2002,3.210213061,6,Debre Marqos, East Gojam,Amhara, Ethiopia
92,2003,3.214241772,5,Debre Marqos, East Gojam,Amhara, Ethiopia
92,1991,3.223555448,4,Debre Marqos, East Gojam,Amhara, Ethiopia
92,1982,3.291337527,3,Debre Marqos, East Gojam,Amhara, Ethiopia
92,1984,3.311412677,2,Debre Marqos, East Gojam,Amhara, Ethiopia
92,2018,3.329844057,1,Debre Marqos, East Gojam,Amhara, Ethiopia
93,2015,2.085900787,10,Dejen, East Gojam,Amhara, Ethiopia
93,2002,2.489775367,9,Dejen, East Gojam,Amhara, Ethiopia
93,1992,2.490551097,8,Dejen, East Gojam,Amhara, Ethiopia
93,1991,2.506789512,7,Dejen, East Gojam,Amhara, Ethiopia
93,1995,2.524254023,6,Dejen, East Gojam,Amhara, Ethiopia
93,1987,2.539633801,5,Dejen, East Gojam,Amhara, Ethiopia
93,1982,2.573577563,4,Dejen, East Gojam,Amhara, Ethiopia
93,1986,2.597012601,3,Dejen, East Gojam,Amhara, Ethiopia
93,2003,2.628324488,2,Dejen, East Gojam,Amhara, Ethiopia
93,1984,2.648339511,1,Dejen, East Gojam,Amhara, Ethiopia
94,2015,2.110185232,10,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1991,2.423402678,9,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1992,2.445052503,8,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1995,2.482065676,7,Enarj Enawga, East Gojam,Amhara, Ethiopia
